141.3783298,-11.93212853
141.3783298,-13.25378578
141.1000862,-14.99280848
140.8218426,-16.24490482
140.2653553,-17.21875753
139.5001853,-17.42744025
139.0132589,-16.73183117
137.2742362,-15.96666119
136.0917008,-15.41017392
135.3960917,-14.43632121
136.0221399,-13.39290759
136.717749,-11.65388489
135.8830181,-12.00168943
134.1439954,-12.00168943
133.5875081,-11.58432399
132.891899,-11.58432399
132.1267291,-10.95827581
131.5006809,-11.16695854
130.2485845,-12.07125034
129.5529755,-13.32334668
128.9964882,-14.43632121
127.8835137,-14.71456484
126.8401001,-13.4624685
125.379321,-13.87983395
125.1010774,-14.43632121
123.7794201,-15.89710028
123.1533719,-16.87095299
122.5968847,-16.24490482
122.0403974,-16.66227027
122.0403974,-18.19261024
120.7883011,-19.30558477
118.7710347,-19.30558477
118.7014738,-19.79251112
117.7276211,-19.72295022
117.5884993,-20.55768111
115.9885984,-20.62724202
113.5539666,-21.87933836
113.4844057,-23.82704379
112.9974794,-24.03572651
113.4148448,-25.14870104
113.3452839,-25.98343193
113.6235275,-27.58333282
114.4582584,-28.76586825
114.7365021,-29.80928187
115.4321111,-31.13093912
115.2234284,-33.07864454
114.7365021,-33.28732727
114.7365021,-33.70469272
115.0147457,-34.05249726
116.0581593,-34.4698627
116.9624511,-35.02634997
117.5884993,-34.95678906
119.3970829,-33.98293635
120.1622529,-33.70469272
123.5707374,-33.63513181
124.2663465,-32.6612791
125.0315164,-32.6612791
125.5184428,-32.17435274
127.3270264,-32.24391365
127.60527,-31.75698729
130.0399018,-31.68742639
130.5963891,-31.06137821
131.7789245,-31.54830457
133.4483863,-31.8265482
134.8396045,-33.42644908
135.2569699,-34.4698627
136.6481881,-33.63513181
137.4133581,-33.14820545
137.4133581,-34.33074089
137.6220408,-35.16547178
138.8045762,-35.3045936
139.4306244,-36.00020268
139.5697462,-36.83493357
140.3349162,-37.9479081
141.8652562,-37.9479081
142.4913043,-38.71307809
143.6042789,-38.36527355
144.3694489,-37.87834719
145.8997888,-38.57395627
147.1518852,-37.46098175
149.9343215,-37.32185993
149.9343215,-35.44371542
150.4212479,-35.3045936
150.282126,-34.12205816
152.9254405,-30.85269549
152.9254405,-29.73972096
153.2036842,-28.55718553
152.9950014,-27.79201554
152.9254405,-25.28782285
150.5603697,-22.99231289
150.0038824,-21.80977746
149.516956,-21.94889927
148.8909079,-20.4881202
147.5692506,-19.23602386
146.1084716,-18.7490975
145.6911061,-16.87095299
145.2041798,-16.105783
144.7172534,-14.50588212
143.4651571,-14.01895576
143.3260352,-12.14081125
142.2130607,-10.68003218
141.3783298,-11.93212853
