Object Category,Object Type,,
point,122.3896608,37.05489756,0
point,121.3213816,36.88397288,0
point,120.8086076,36.49939236,0
point,120.3812959,36.157543,0
point,119.9967153,35.64476897,0
point,119.6121348,35.26018845,0
point,120.2958335,34.83287675,0
point,120.2103712,34.19190921,0
point,120.4667582,33.85005985,0
point,120.680414,33.33728582,0
point,120.7658764,32.78178062,0
point,121.1504569,32.56812477,0
point,121.3213816,32.18354425,0
point,121.7486933,31.79896372,0
point,121.6204998,31.32892086,0
point,121.4068439,30.60249098,0
point,121.9623491,30.34610396,0
point,121.822253,29.84263608,0
point,121.9504465,29.20166854,0
point,121.4804036,28.60343217,0
point,120.9676296,28.09065814,0
point,120.7967049,27.40695943,0
point,120.2411997,26.93691656,0
point,119.8566192,26.25321785,0
point,120.6685114,25.14220745,0
point,120.9676296,25.31313212,0
point,121.2240166,25.82590616,0
point,121.822253,25.78317499,0
point,121.9931776,25.18493862,0
point,121.822253,24.3730464,0
point,121.5658659,23.56115418,0
point,121.3094789,22.66379962,0
point,120.583049,22.06556325,0
point,120.2411997,22.4074126,0
point,119.8566192,23.17657365,0
point,119.7284256,23.73207886,0
point,120.1130062,24.20212172,0
point,120.2411997,24.97128277,0
point,119.8993503,25.61225031,0
point,119.7284256,25.52678797,0
point,119.0447269,25.22766979,0
point,118.8738023,24.80035809,0
point,118.2328347,24.45850874,0
point,117.7200607,24.33031523,0
point,117.4636737,23.8175412,0
point,116.8227061,23.47569184,0
point,116.4808568,22.79199313,0
point,115.5835022,22.70653079,0
point,114.3870295,22.45014377,0
point,113.8315243,22.4074126,0
point,113.2332879,22.06556325,0
point,112.7205139,21.80917623,0
point,111.994084,21.63825155,0
point,111.1394606,21.38186454,0
point,110.6266866,21.25367103,0
point,110.1566437,20.95455284,0
point,110.4130307,20.48450998,0
point,110.7121489,20.3135853,0
point,110.9685359,19.67261776,0
point,110.6694177,19.03165022,0
point,110.242106,18.68980087,0
point,109.8575255,18.34795151,0
point,109.3020203,18.26248917,0
point,108.7892463,18.39068268,0
point,108.4046658,18.7752632,0
point,108.4046658,19.45896191,0
point,108.5755904,20.05719829,0
point,108.8747086,20.35631647,0
point,109.4302138,20.44177881,0
point,109.3447515,20.78362817,0
point,109.1738268,21.16820869,0
point,108.7037839,21.63825155,0
point,108.1055476,21.46732688,0
point,107.5927735,20.99728401,0
point,106.8236125,20.91182167,0
point,106.8236125,20.65543466,0
point,106.0544514,20.01446712,0
point,105.7980644,19.54442425,0
point,105.8407956,18.86072554,0
point,106.3108385,18.60433853,0
point,106.4817631,17.96337099,0
point,106.6526878,17.87790865,0
point,106.9090748,17.36513461,0
point,107.3791177,17.27967227,0
point,107.6782359,16.85236058,0
point,108.0628164,16.6814359,0
point,108.3192034,16.46778006,0
point,108.8319774,15.86954368,0
point,108.8319774,15.44223199,0
point,109.216558,15.0149203,0
point,109.3447515,14.63033977,0
point,109.2592891,13.6047917,0
point,109.2592891,12.19466311,0
point,109.0456333,11.68188908,0
point,108.7037839,11.25457739,0
point,108.2337411,10.91272803,0
point,107.8064294,10.78453452,0
point,107.208193,10.27176049,0
point,106.7808813,10.22902932,0
point,106.3108385,9.758986458,0
point,106.0971826,9.331674764,0
point,105.6698709,9.246212425,0
point,104.943441,8.8616319,0
point,104.687054,9.075287747,0
point,104.3452047,9.417137102,0
point,104.430667,10.27176049,0
point,103.8324306,10.399954,0
point,103.3196566,10.74180335,0
point,103.0632696,11.25457739,0
point,102.6786891,11.42550206,0
point,102.2941085,12.06646961,0
point,101.9522592,12.53651247,0
point,101.1830981,12.83563066,0
point,100.4566682,12.83563066,0
point,99.98662538,13.30567352,0
point,99.94389421,12.4937813,0
point,99.77296953,12.10920078,0
point,99.73023836,11.5109644,0
point,99.34565784,11.04092154,0
point,99.21746433,10.65634102,0
point,99.2601955,9.844448797,0
point,99.64477602,9.673524119,0
point,99.64477602,9.203481255,0
point,100.0293565,8.989825408,0
point,100.1148189,8.263395528,0
point,100.3712059,7.878815003,0
point,100.5848618,7.451503309,0
point,101.0121734,7.36604097,0
point,101.5249475,7.066922785,0
point,101.8667968,6.853266938,0
point,102.1231839,6.255030566,0
point,102.7214202,5.998643549,0
point,103.1914631,5.656794194,0
point,103.2769254,5.015826653,0
point,103.3196566,3.178386368,0
point,103.7469683,2.964730521,0
point,103.7469683,2.494687657,0
point,104.0888176,2.110107133,0
point,104.2170112,1.896451285,0
point,104.1315488,1.212752575,0
point,103.5333124,1.426408422,0
point,102.7214202,1.682795438,0
point,102.0804527,2.152838302,0
point,101.1830981,2.836537013,0
point,100.9267111,3.392042215,0
point,100.4566682,3.904816248,0
point,100.3284747,4.716708467,0
point,99.98662538,5.443138347,0
point,99.8157007,6.169568227,0
point,99.38838901,6.596879921,0
point,99.43112018,7.195116293,0
point,99.17473316,7.665159156,0
point,98.53376562,7.964277342,0
point,97.97826042,8.477051375,0
point,97.93552925,9.374405933,0
point,98.06372276,10.14356698,0
point,97.80733574,10.74180335,0
point,98.2773786,11.12638388,0
point,98.23464743,11.55369557,0
point,98.10645393,12.40831896,0
point,98.1491851,13.26294235,0
point,97.93552925,13.81844755,0
point,97.80733574,14.20302808,0
point,97.33729288,14.54487743,0
point,97.29456171,15.27130731,0
point,97.33729288,16.1259307,0
point,97.20909937,16.6814359,0
point,96.43993832,16.76689824,0
point,95.75623961,16.33958655,0
point,95.32892791,15.74135018,0
point,94.47430453,15.74135018,0
point,93.87606815,16.1259307,0
point,93.83333698,17.62152163,0
point,93.74787465,18.73253203,0
point,93.49148763,19.11711256,0
point,93.36329412,19.71534893,0
point,92.59413307,19.97173595,0
point,92.29501489,20.69816583,0
point,91.91043436,21.55278922,0
point,91.56858501,22.45014377,0
point,90.67123045,22.62106845,0
point,90.32938109,22.32195027,0
point,90.03544521,22.08308076,0
point,89.5162615,21.97924402,0
point,89.20475127,21.56389705,0
point,88.54711858,21.63312154,0
point,88.09715936,21.5985093,0
point,87.82026139,21.94463177,0
point,87.33568992,21.66773379,0
point,87.09340419,20.87165211,0
point,86.85111846,20.69859087,0
point,86.64344498,20.07557042,0
point,86.12426127,19.83328469,0
point,85.36279183,19.52177446,0
point,84.84360812,19.31410098,0
point,84.60132239,18.89875401,0
point,83.8744652,18.37957031,0
point,83.42450599,18.03344783,0
point,82.97454677,17.61810087,0
point,82.38613857,17.06430491,0
point,82.07462835,16.71818244,0
point,81.79773037,16.37205997,0
point,81.20932217,16.12977424,0
point,80.7939752,15.78365176,0
point,80.37862823,15.67981502,0
point,80.27479149,14.1222639,0
point,80.205567,12.77238626,0
point,80.03250576,12.49548828,0
point,79.68638329,12.39165154,0
point,79.65177104,10.9725494,0
point,79.61715879,10.69565142,0
point,79.40948531,10.34952895,0
point,79.65177104,10.24569221,0
point,80.10173025,9.795732994,0
point,80.41324048,9.484222769,0
point,80.69013846,9.311161533,0
point,81.10548542,8.999651308,0
point,81.24393441,8.515079846,0
point,81.62466913,8.34201861,0
point,81.69389363,7.892059396,0
point,81.69389363,6.922916474,0
point,81.55544464,6.85369198,0
point,81.24393441,6.576794002,0
point,80.65552621,6.022998046,0
point,79.82483228,6.092222541,0
point,79.68638329,6.715242991,0
point,79.58254655,7.269038946,0
point,79.40948531,7.615161419,0
point,79.20181183,7.961283891,0
point,79.40948531,8.72275333,0
point,79.51332205,9.380386027,0
point,79.13258733,9.864957488,0
point,78.64801587,9.380386027,0
point,78.40573014,9.103488049,0
point,78.02499542,8.584304341,0
point,77.60964845,8.34201861,0
point,76.986628,8.238181869,0
point,76.77895452,8.445855352,0
point,76.43283205,8.72275333,0
point,76.05209733,9.449610521,0
point,75.77519935,9.622671758,0
point,75.70597486,10.66103917,0
point,75.32524014,11.18022288,0
point,75.2214034,12.08014131,0
point,74.90989317,12.42626378,0
point,74.80605643,12.77238626,0
point,74.4945462,13.25695772,0
point,74.25226047,13.94920266,0
point,73.87152575,14.39916187,0
point,73.56001553,15.26446806,0
point,73.28311755,15.92210075,0
point,72.90238283,16.44128446,0
point,72.86777058,17.65271311,0
point,72.86777058,18.06806008,0
point,72.38319912,18.51801929,0
point,72.27936238,19.55638671,0
point,72.21013789,21.18316233,0
point,72.27936238,21.5985093,0
point,72.10630114,22.11769301,0
